,ch4 x=80m,ch7 x=50m,ch18 x=40m,ch10 x=30.8m,ch20 x=20m,ch23 x=5m
t(s),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm),水位(cm)
130.86,-0.005,0.125,0.197,0.242,0.1,-0.185
130.87,-0.015,0.125,0.187,0.222,0.12,-0.195
130.88,-0.005,0.145,0.187,0.202,0.15,-0.195
130.89,-0.015,0.145,0.187,0.202,0.17,-0.195
130.9,-0.005,0.165,0.187,0.182,0.19,-0.205
130.91,-0.015,0.155,0.167,0.182,0.22,-0.205
130.92,-0.005,0.165,0.167,0.172,0.26,-0.215
130.93,-0.015,0.155,0.157,0.182,0.29,-0.215
130.94,-0.005,0.165,0.157,0.182,0.33,-0.225
130.95,-0.015,0.155,0.147,0.192,0.35,-0.225
130.96,0.005,0.165,0.147,0.212,0.37,-0.235
130.97,-0.005,0.145,0.137,0.222,0.37,-0.245
130.98,0.015,0.155,0.147,0.232,0.35,-0.245
130.99,0.005,0.135,0.137,0.252,0.35,-0.255
131,0.015,0.145,0.147,0.262,0.32,-0.255
131.01,0.005,0.115,0.137,0.282,0.27,-0.255
131.02,0.025,0.115,0.147,0.292,0.22,-0.265
131.03,0.015,0.115,0.147,0.312,0.18,-0.265
131.04,0.035,0.115,0.167,0.322,0.13,-0.265
131.05,0.015,0.085,0.147,0.352,0.09,-0.265
131.06,0.035,0.085,0.167,0.352,0.05,-0.255
131.07,0.015,0.065,0.167,0.362,0.01,-0.235
131.08,0.025,0.075,0.187,0.372,-0.03,-0.225
131.09,0.015,0.065,0.187,0.382,-0.06,-0.205
131.1,0.025,0.075,0.197,0.382,-0.09,-0.205
131.11,0.015,0.055,0.197,0.382,-0.1,-0.205
131.12,0.025,0.075,0.207,0.382,-0.11,-0.205
131.13,0.015,0.065,0.197,0.382,-0.11,-0.195
131.14,0.025,0.075,0.207,0.382,-0.1,-0.195
131.15,0.015,0.075,0.207,0.382,-0.09,-0.195
131.16,0.025,0.095,0.217,0.372,-0.08,-0.185
131.17,0.015,0.105,0.217,0.372,-0.05,-0.175
131.18,0.025,0.115,0.217,0.352,-0.03,-0.165
131.19,0.005,0.115,0.207,0.342,0,-0.155
131.2,0.015,0.155,0.217,0.332,0.02,-0.145
131.21,-0.005,0.155,0.207,0.322,0.05,-0.135
131.22,0.005,0.185,0.207,0.302,0.07,-0.135
131.23,-0.015,0.185,0.207,0.292,0.1,-0.125
131.24,-0.005,0.205,0.207,0.262,0.12,-0.125
131.25,-0.015,0.195,0.197,0.242,0.15,-0.115
131.26,0.005,0.215,0.207,0.222,0.17,-0.115
131.27,-0.025,0.195,0.197,0.202,0.21,-0.105
131.28,-0.015,0.205,0.197,0.182,0.23,-0.115
131.29,-0.025,0.195,0.197,0.162,0.27,-0.115
131.3,-0.015,0.205,0.197,0.142,0.29,-0.125
131.31,-0.025,0.185,0.187,0.132,0.32,-0.125
131.32,-0.015,0.195,0.187,0.122,0.34,-0.135
131.33,-0.025,0.165,0.187,0.122,0.35,-0.135
131.34,-0.005,0.165,0.187,0.112,0.37,-0.155
131.35,-0.025,0.135,0.177,0.112,0.38,-0.155
131.36,-0.005,0.135,0.177,0.122,0.39,-0.165
131.37,-0.025,0.115,0.167,0.132,0.4,-0.175
131.38,-0.005,0.115,0.167,0.152,0.4,-0.185
131.39,-0.015,0.105,0.167,0.172,0.41,-0.185
131.4,-0.005,0.095,0.167,0.182,0.4,-0.205
131.41,-0.015,0.075,0.157,0.202,0.4,-0.205
131.42,-0.005,0.075,0.147,0.222,0.4,-0.205
131.43,-0.015,0.065,0.137,0.242,0.4,-0.205
131.44,-0.005,0.075,0.137,0.262,0.39,-0.205
131.45,-0.015,0.065,0.127,0.282,0.38,-0.205
131.46,-0.005,0.085,0.117,0.292,0.37,-0.195
131.47,-0.005,0.075,0.117,0.312,0.35,-0.185
131.48,0.015,0.105,0.117,0.312,0.33,-0.185
131.49,0.005,0.105,0.097,0.322,0.27,-0.175
131.5,0.005,0.115,0.097,0.322,0.24,-0.175
131.51,-0.005,0.125,0.087,0.322,0.22,-0.155
131.52,0.005,0.155,0.097,0.312,0.19,-0.145
131.53,-0.005,0.165,0.087,0.302,0.18,-0.135
131.54,0.015,0.195,0.087,0.292,0.17,-0.125
131.55,-0.005,0.205,0.087,0.282,0.17,-0.115
131.56,0.005,0.215,0.097,0.252,0.15,-0.105
131.57,-0.005,0.215,0.087,0.242,0.12,-0.095
131.58,0.005,0.225,0.097,0.222,0.1,-0.095
131.59,-0.005,0.215,0.097,0.202,0.09,-0.095
131.6,0.005,0.225,0.107,0.182,0.07,-0.105
131.61,-0.005,0.215,0.107,0.172,0.05,-0.115
131.62,0.005,0.225,0.117,0.152,0.02,-0.125
131.63,-0.005,0.215,0.117,0.152,0,-0.135
131.64,0.015,0.225,0.137,0.152,-0.03,-0.155
131.65,-0.005,0.215,0.137,0.152,-0.05,-0.165
131.66,0.015,0.215,0.147,0.162,-0.08,-0.185
131.67,0.005,0.205,0.147,0.172,-0.09,-0.185
131.68,0.015,0.215,0.167,0.182,-0.09,-0.195
131.69,-0.005,0.195,0.167,0.202,-0.09,-0.195
131.7,0.015,0.205,0.177,0.222,-0.09,-0.205
131.71,-0.005,0.175,0.177,0.242,-0.08,-0.215
131.72,0.005,0.185,0.187,0.262,-0.05,-0.225
131.73,-0.005,0.175,0.177,0.282,-0.03,-0.225
131.74,0.005,0.185,0.187,0.292,0,-0.225
131.75,-0.015,0.165,0.177,0.312,0.05,-0.225
131.76,-0.005,0.185,0.187,0.332,0.07,-0.225
131.77,-0.015,0.175,0.177,0.332,0.1,-0.215
131.78,-0.005,0.185,0.177,0.342,0.12,-0.205
131.79,-0.015,0.175,0.167,0.342,0.15,-0.205
131.8,-0.005,0.185,0.167,0.332,0.16,-0.205
131.81,-0.025,0.175,0.167,0.322,0.18,-0.205
131.82,-0.005,0.185,0.177,0.312,0.18,-0.205
131.83,-0.025,0.175,0.167,0.292,0.18,-0.205
131.84,-0.015,0.195,0.167,0.282,0.17,-0.205
131.85,-0.035,0.185,0.167,0.252,0.16,-0.195
131.86,-0.015,0.195,0.167,0.232,0.13,-0.195
131.87,-0.025,0.185,0.147,0.212,0.11,-0.195
